Sentence,Scene Role,Function,Notes
strategies <such_as></en/such_as/PartPortion--PartPortion> divide-and-conquer ,PartPortion,PartPortion,
Everyone <except></en/except/PartPortion--PartPortion>but Bob plays trombone. ,PartPortion,PartPortion,
strategies <like></en/like/PartPortion--ComparisonRef> divide-and-conquer   ,PartPortion,ComparisonRef,[same reading as ]|(PartPortion↝ComparisonRef)
A clump <of></en/of/Stuff--Stuff> sand ,Stuff,Stuff,
A piece <of></en/of/Stuff--Stuff> wood ,Stuff,Stuff,
An evening <of></en/of/Stuff--Stuff> Brahms ,Stuff,Stuff,
A meal <of></en/of/Stuff--Stuff> salmon ,Stuff,Stuff,
A salad <of></en/of/Stuff--Stuff> mixed greens ,Stuff,Stuff,
A salad <with></en/with/Stuff--Stuff> mixed greens ,Stuff,Stuff,
the kid <in></en/in/Possession--Locus> a vest  ,Possession,Locus,(Possession↝Locus)
They robbed her <of></en/of/Possession--Theme> her life savings. ,Possession,Theme,
They spent $500 <on></en/on/Possession--Theme> the bicycle. ,Possession,Theme,
They charged $500 <for></en/for/Possession--Theme> the bicycle. ,Possession,Theme,
They asked $500 <for></en/for/Possession--Theme> the bicycle. ,Possession,Theme,
They paid $500 <for></en/for/Possession--Theme> the bicycle. ,Possession,Theme,
They owed $500 <for></en/for/Possession--Theme> the bicycle. ,Possession,Theme,
$500 <for></en/for/Possession--Theme> the bicycle was excessive. ,Possession,Theme,
I walked in <with></en/with/Possession--Ancillary> an umbrella. ,Possession,Ancillary,
Hagrid exited the shop <with></en/with/Possession--Ancillary>  a snowy owl. ,Possession,Ancillary,(= carrying)
People <with></en/with/Possession--Possession> money ,Possession,Possession,
the kid <with></en/with/Possession--Possession> a vest  ,Possession,Possession,(on)
the kid <with></en/with/Possession--Possession> makeup  ,Possession,Possession,(on)
We are <out_of></en/out_of/Possession--Possession> toilet paper. ,Possession,Possession,
Toilet paper? We are <out></en/out/Possession--Possession>. ,Possession,Possession,
We are <out_of></en/out_of/Possession--Possession> toilet paper.  ,Possession,Possession,(Possession)
I bestowed the winner <with></en/with/Possession--Possession> a bicycle. ,Possession,Possession,
I bestowed the winner <with></en/with/Possession--Possession> $100. ,Possession,Possession,
The deaths numbered <in></en/in/QuantityValue--Locus> the thousands. ,QuantityValue,Locus,
We have <about></en/about/Approximator--Approximator> a dozen eggs left. ,Approximator,Approximator,
We have <in_the_vicinity_of></en/in_the_vicinity_of/Approximator--Approximator> a dozen eggs left. ,Approximator,Approximator,
We have <over></en/over/Approximator--Approximator> a dozen eggs left. ,Approximator,Approximator,
We have <between></en/between/Approximator--Approximator> 3 and 6 eggs left. ,Approximator,Approximator,
The lake is <around></en/around/Approximator--Approximator> a mile wide. ,Approximator,Approximator,
The lake is <at_least></en/at_least/Approximator--Approximator> a mile wide. ,Approximator,Approximator,
He is too short  basketball. ,ComparisonRef,Purpose,
He is not tall enough  basketball. ,ComparisonRef,Purpose,
He is  <for></en/for/ComparisonRef--Purpose> basketball. ,ComparisonRef,Purpose,
He is  <to></en/to/ComparisonRef--Purpose> play basketball. ,ComparisonRef,Purpose,
His height is insufficient <for></en/for/ComparisonRef--Purpose> basketball. ,ComparisonRef,Purpose,
Your heart rate is <above></en/above/ComparisonRef--Locus> 100 bpm. ,ComparisonRef,Locus,
Your heart rate is <above></en/above/ComparisonRef--Locus> normal. ,ComparisonRef,Locus,
Your heart rate is <above></en/above/ComparisonRef--Locus> mine. ,ComparisonRef,Locus,
The price is <within></en/within/ComparisonRef--Locus> my budget. ,ComparisonRef,Locus,
My team is <ahead_of></en/ahead_of/ComparisonRef--Locus> your team in the tournament. ,ComparisonRef,Locus,
I prefer this restaurant <over></en/over/ComparisonRef--Locus> that one.   ,ComparisonRef,Locus,[paraphrase: I like this restaurant better than that one.]
expenses <under></en/under/Approximator--Approximator> $100 ,ComparisonRef,Locus,
Your score is <under></en/under/Approximator--Approximator> 100. ,ComparisonRef,Locus,
Your score is <over></en/over/Approximator--Approximator> 100. ,ComparisonRef,Locus,
Your score is <at_least></en/at_least/Approximator--Approximator> 100. ,ComparisonRef,Locus,
Shall I compare thee <to></en/to/ComparisonRef--Goal> a summer’s day? ,ComparisonRef,Goal,
Her height is equal <to></en/to/ComparisonRef--Goal> mine. ,ComparisonRef,Goal,
Her height is close <to></en/to/ComparisonRef--Goal> mine. ,ComparisonRef,Goal,
We need to distinguish what is achievable <from></en/from/ComparisonRef--Source> what is desirable. ,ComparisonRef,Source,
Her height is different <from></en/from/ComparisonRef--Source> mine. ,ComparisonRef,Source,
"Don’t compare me  <with></en/with/ComparisonRef--Ancillary> my sister! , ",ComparisonRef,Ancillary,(*together)
She is taller <than></en/than/ComparisonRef--ComparisonRef> me. ,ComparisonRef,ComparisonRef,
She is taller <than></en/than/ComparisonRef--ComparisonRef> I am. ,ComparisonRef,ComparisonRef,
She is taller <than></en/than/ComparisonRef--ComparisonRef> she is wide. ,ComparisonRef,ComparisonRef,
She is better at math <than></en/than/ComparisonRef--ComparisonRef> at drawing. ,ComparisonRef,ComparisonRef,
The shirt is more gray <than></en/than/ComparisonRef--ComparisonRef> black. ,ComparisonRef,ComparisonRef,
She is as tall <as></en/as/ComparisonRef--ComparisonRef> I am. ,ComparisonRef,ComparisonRef,
Your face is  red <as></en/as/ComparisonRef--ComparisonRef> a rose.  ,ComparisonRef,ComparisonRef,(asCharacteristic↝Extent)|(more on as—as comparatives: Comparatives and Superlatives)
Your surname is the_same <as></en/as/ComparisonRef--ComparisonRef> mine. ,ComparisonRef,ComparisonRef,
Harry had never met anyone quite <like></en/like/ComparisonRef--ComparisonRef> Luna. ,ComparisonRef,ComparisonRef,
It was <as_if></en/as_if/ComparisonRef--ComparisonRef> he had insulted my mother. ,ComparisonRef,ComparisonRef,
It was <like></en/like/ComparisonRef--ComparisonRef> he had insulted my mother. ,ComparisonRef,ComparisonRef,
He is short <for></en/for/ComparisonRef--ComparisonRef> a basketball player. ,ComparisonRef,ComparisonRef,
I don’t know anyone else <like></en/like/ComparisonRef--ComparisonRef> her.  ,ComparisonRef,ComparisonRef,[anyone else similar to her]
I ordered soup <instead_of></en/instead_of/ComparisonRef--ComparisonRef> salad. ,ComparisonRef,ComparisonRef,
I ordered soup <rather_than></en/rather_than/ComparisonRef--ComparisonRef> salad. ,ComparisonRef,ComparisonRef,
"<Instead_of></en/instead_of/ComparisonRef--ComparisonRef> ordering salad, I ordered soup. ",ComparisonRef,ComparisonRef,
The new shirts were gray <instead_of></en/instead_of/ComparisonRef--ComparisonRef> black. ,ComparisonRef,ComparisonRef,
rice <with></en/with/Ensemble--Ancillary> beans  ,Ensemble,Ancillary,(= served or mixed together)
rice <without></en/without/Ensemble--Ensemble> beans  ,Ensemble,Ancillary,(= served or mixed together)
A smile <with></en/with/Ensemble--Ancillary> a nod was his answer. ,Ensemble,Ancillary,
the foodservice <at></en/at/Gestalt--Locus> this restaurant  ,Gestalt,Locus,(Gestalt↝Locus)
the blueness <of></en/of/Gestalt--Gestalt> the sky ,Gestalt,Gestalt,
the sky<'s></en/'s/Gestalt--Gestalt> blueness ,Gestalt,Gestalt,
the size <of></en/of/Gestalt--Gestalt> the crowd ,Gestalt,Gestalt,
the crowd<'s></en/'s/Gestalt--Gestalt> size ,Gestalt,Gestalt,
the price <of></en/of/Gestalt--Gestalt> the tea ,Gestalt,Gestalt,
the tea<'s></en/'s/Gestalt--Gestalt> price ,Gestalt,Gestalt,
the start time <of></en/of/Gestalt--Gestalt> the party ,Gestalt,Gestalt,
the party<'s></en/'s/Gestalt--Gestalt> start time ,Gestalt,Gestalt,
the power <of></en/of/Gestalt--Gestalt> the president ,Gestalt,Gestalt,
the president<'s></en/'s/Gestalt--Gestalt> power ,Gestalt,Gestalt,
a new way <of></en/of/Gestalt--Gestalt> thinking ,Gestalt,Gestalt,
the amount <of></en/of/Gestalt--Gestalt> time allowed  ,Gestalt,Gestalt,[but see ]
<my></en/'s/Gestalt--Gestalt> address; my price range; my home team; my career; my record of accomplishments ,Gestalt,Gestalt,
Sam<'s></en/'s/Gestalt--Gestalt> dog  ,Gestalt,Gestalt,(= the dog that Sam mentioned seeing earlier in the conversation)
<my></en/'s/Gestalt--Gestalt> odometer number   ,Gestalt,Gestalt,(= my car's odometer's number)|[contrast ]
the restaurant<'s></en/'s/Gestalt--Gestalt> extensive menu  ,Gestalt,Gestalt,[cf. ]
It was the chairman<'s></en/'s/Gestalt--Gestalt> fault. ,Gestalt,Gestalt,
It was the chairman<'s></en/'s/Gestalt--Gestalt> responsibility. ,Gestalt,Gestalt,
It was the chairman<'s></en/'s/Gestalt--Gestalt> right. ,Gestalt,Gestalt,
<my></en/'s/Gestalt--Gestalt> hometown ,Gestalt,Gestalt,
<my></en/'s/Gestalt--Gestalt> birthplace ,Gestalt,Gestalt,
I am <with></en/with/Org--Ancillary> Grunnings. ,Org,Ancillary,
people <with></en/with/Org--Ancillary> Grunnings  ,Org,Ancillary,(= Grunnings employees)
Mr. Dursley is <with></en/with/Org--Ancillary> Grunnings. ,Org,Ancillary,
I always do business <with></en/with/Org--Ancillary> this company. ,Org,Ancillary,
I bank <with></en/with/Org--Ancillary> TSB. ,Org,Ancillary,
my phone service <with></en/with/Org--Ancillary> Verizon ,Org,Ancillary,
the cloak <on></en/on/Possessor--Locus> He-Who-Must-Not-Be-Named  ,Possessor,Locus,(Possessor↝Locus)
He was not ready to share a house  <with></en/with/Possessor--Ancillary> her. ,Possessor,Ancillary,(*together)
the house <of></en/of/Possessor--Possessor> the Smith family ,Possessor,Possessor,
the Smith family<'s></en/'s/Possessor--Possessor> house ,Possessor,Possessor,
the corgis <of></en/of/Possessor--Possessor> Queen Elizabeth ,Possessor,Possessor,
Queen Elizabeth<'s></en/'s/Possessor--Possessor> corgis ,Possessor,Possessor,
John<'s></en/'s/Possessor--Possessor> hotel room  ,Possessor,Possessor,[the room John is staying in as a guest]
Mary<'s></en/'s/Possessor--Possessor> delivery truck  ,Possessor,Possessor,[the company truck that Mary drives as an employee]
the cloak <of></en/of/Possessor--Possessor> He-Who-Must-Not-Be-Named ,Possessor,Possessor,
He-Who-Must-Not-Be-Named<'s></en/'s/Possessor--Possessor> cloak ,Possessor,Possessor,
<my></en/'s/Possessor--Possessor> shares of stock ,Possessor,Possessor,
<my></en/'s/Possessor--Possessor> insurance  ,Possessor,Possessor,(= insurance that I “own”)
<my></en/'s/Possessor--Possessor> computer file ,Possessor,Possessor,
<my></en/'s/Possessor--Possessor> website ,Possessor,Possessor,
the campaign<'s></en/'s/Possessor--Possessor> email list ,Possessor,Possessor,
<my></en/'s/Possessor--Possessor> contract ,Possessor,Possessor,
The shopkeeper<'s></en/'s/Possessor--Possessor> merchandise is fantastic.  ,Possessor,Possessor,[item to be sold]
The store<'s></en/'s/Possessor--Possessor> merchandise is fantastic.  ,Possessor,Possessor,[item to be sold]
"Waiter, is <my></en/'s/Possessor--Possessor> food ready?  ",Possessor,Possessor,[item identified or ordered for purchase]
Use <my></en/'s/Possessor--Possessor> money  wisely!  ,Possessor,Possessor,(the money that I gave you)|[item that was transferred]
<My></en/'s/Possessor--Possessor> windshield  is foggy.  ,Possessor,Possessor,(= the windshield of my vehicle)|[contrast ]
That was <my></en/'s/Possessor--Possessor> gift.  ,Possessor,Possessor,"[contrast , ]"
Can you outrun a herd <of></en/of/QuantityItem--Stuff> wildebeest? ,QuantityItem,Stuff,
Put 3 bales <of></en/of/QuantityItem--Stuff> hay on the truck. ,QuantityItem,Stuff,
A group <of></en/of/QuantityItem--Stuff> vacationers just arrived. ,QuantityItem,Stuff,
2 groups <of></en/of/QuantityItem--Stuff> vacationers just arrived. ,QuantityItem,Stuff,
A throng <of></en/of/QuantityItem--Stuff> vacationers just arrived. ,QuantityItem,Stuff,
A groupthrong <of></en/of/QuantityItem--Stuff> vacationers   ,QuantityItem,Stuff,(QuantityItem↝Stuff)|[governor is collective noun not denoting an organization; more at QuantityItem]
A generous amount <of></en/of/QuantityItem--Gestalt> time ,QuantityItem,Gestalt,
A large number <of></en/of/QuantityItem--Gestalt> students ,QuantityItem,Gestalt,
Pour me a bottle <of></en/of/QuantityItem--QuantityItem> beer.  ,QuantityItem,QuantityItem,(’s worth)|[but see ]
I have 2 years <of></en/of/QuantityItem--QuantityItem> training. ,QuantityItem,QuantityItem,
I ate 6 ounces <of></en/of/QuantityItem--QuantityItem> cake. ,QuantityItem,QuantityItem,
I ate a piece <of></en/of/QuantityItem--QuantityItem> cake. ,QuantityItem,QuantityItem,
An ounce <of></en/of/QuantityItem--QuantityItem> compassion ,QuantityItem,QuantityItem,
There’s a dearth <of></en/of/QuantityItem--QuantityItem> cake in the house. ,QuantityItem,QuantityItem,
This cake has thousands <of></en/of/QuantityItem--QuantityItem> sprinkles. ,QuantityItem,QuantityItem,
There were thousands <of></en/of/QuantityItem--QuantityItem> deaths. ,QuantityItem,QuantityItem,
They number in the tens <of></en/of/QuantityItem--QuantityItem> thousands. ,QuantityItem,QuantityItem,
I have a number <of></en/of/QuantityItem--QuantityItem> students. ,QuantityItem,QuantityItem,
I have a handful <of></en/of/QuantityItem--QuantityItem> students. ,QuantityItem,QuantityItem,
I have a lot <of></en/of/QuantityItem--QuantityItem> students. ,QuantityItem,QuantityItem,
We did a lot <of></en/of/QuantityItem--QuantityItem> traveling. ,QuantityItem,QuantityItem,
There is a lot <of></en/of/QuantityItem--QuantityItem> wet sand on the beach. ,QuantityItem,QuantityItem,
A pair <of></en/of/QuantityItem--QuantityItem> shoes ,QuantityItem,QuantityItem,
I ate 6 ounces <of></en/of/QuantityItem--Whole> the cake in the refrigerator. ,QuantityItem,Whole,
I ate half <of></en/of/QuantityItem--Whole> the cake. ,QuantityItem,Whole,
I ate 50% <of></en/of/QuantityItem--Whole> the cake. ,QuantityItem,Whole,
All <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
many <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
lots <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
a lot <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
some <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
few <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
both <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
none <of></en/of/QuantityItem--Whole> the town’s residents   are students. ,QuantityItem,Whole,
I have seen all <of></en/of/QuantityItem--Whole> the city.  ,QuantityItem,Whole,(= the whole city)
A lot <of></en/of/QuantityItem--Whole> the sand on the beach is wet. ,QuantityItem,Whole,
2 <of></en/of/QuantityItem--Whole> the children are redheads. ,QuantityItem,Whole,
2 <of></en/of/QuantityItem--Whole> the 10 children in the class are redheads. ,QuantityItem,Whole,
Many steps are involved <in></en/in/Whole--Circumstance> the process of buying a home. \ ,Whole,Circumstance,(Whole↝Circumstance)
the 14 episodes <in></en/in/Whole--Locus> a TV series ,Whole,Locus,
the new engine <in></en/in/Whole--Locus> the car ,Whole,Locus,
the escape key <on></en/on/Whole--Locus> the keyboard ,Whole,Locus,
the flaxen hair <on></en/on/Whole--Locus> the girl ,Whole,Locus,
the clothes <in></en/in/Whole--Locus> that pile are dirty ,Whole,Locus,
2 <in></en/in/Whole--Locus> 10 American children are redheads.  ,Whole,Locus,(Whole↝Locus)
There are several options to choose <from></en/from/Whole--Source>.  ,Whole,Source,(Whole↝Source)
2 <out_of></en/out_of/Whole--Source> 10 American children are redheads.  ,Whole,Source,(Whole↝Source)
"<Out_of></en/out_of/Whole--Source> the 10 children in the class, only Mary is a redhead.  ",Whole,Source,(Whole↝Source)
the car<'s></en/'s/Whole--Gestalt> new engine ,Whole,Gestalt,
the girl<'s></en/'s/Whole--Gestalt> flaxen hair ,Whole,Gestalt,
the cake<'s></en/'s/Whole--Gestalt> 3 layers ,Whole,Gestalt,
the strategy<'s></en/'s/Whole--Gestalt> 3 prongs ,Whole,Gestalt,
the cake<'s></en/'s/Whole--Gestalt> tastiest bit ,Whole,Gestalt,
the island<'s></en/'s/Whole--Gestalt> southern tip ,Whole,Gestalt,
the shopping bag<'s></en/'s/Whole--Gestalt> interior ,Whole,Gestalt,
the journey<'s></en/'s/Whole--Gestalt> end ,Whole,Gestalt,
a TV series<'s></en/'s/Whole--Gestalt> 14 episodes ,Whole,Gestalt,
the Principals Committee <of></en/of/Whole--Whole> the National Security Council ,Whole,Whole,
Microsoft<'s></en/'s/Whole--Whole> cloud services division ,Whole,Whole,
the new engine <of></en/of/Whole--Whole> the car ,Whole,Whole,
the flaxen hair <of></en/of/Whole--Whole> the girl ,Whole,Whole,
the 3 layers <of></en/of/Whole--Whole> the cake ,Whole,Whole,
the 3 prongs <of></en/of/Whole--Whole> the strategy ,Whole,Whole,
the tastiest bit <of></en/of/Whole--Whole> the cake ,Whole,Whole,
the southern tip <of></en/of/Whole--Whole> the island ,Whole,Whole,
the interior <of></en/of/Whole--Whole> the shopping bag ,Whole,Whole,
the end <of></en/of/Whole--Whole> the journey ,Whole,Whole,
the 14 episodes <of></en/of/Whole--Whole> a TV series ,Whole,Whole,
the south <of></en/of/Whole--Whole> France ,Whole,Whole,
The remainder <of></en/of/Whole--Whole> the cake ,Whole,Whole,
The rest <of></en/of/Whole--Whole> the cake ,Whole,Whole,
This is one <of></en/of/Whole--Whole> the worst retaurants in town. ,Whole,Whole,
This is one <of></en/of/Whole--Whole> the better retaurants in town. ,Whole,Whole,
"<Among></en/among/Whole--Whole> the 10 children in the class, only Mary is a redhead. ",Whole,Whole,
It must be great to have a wonderful doctor <like></en/like/Identity--ComparisonRef> her.        ,Identity,ComparisonRef,[It must be great to have her because she is a wonderful doctor]|(Identity↝ComparisonRef)
It must be great to have a wonderful doctor <like></en/like/Identity--ComparisonRef> she is.        ,Identity,ComparisonRef,[It must be great to have her because she is a wonderful doctor]|(Identity↝ComparisonRef)
the state <of></en/of/Identity--Identity> Washington  ,Identity,Identity,[as opposed to the city]
The liberal state <of></en/of/Identity--Identity> Washington has not been receptive to Trump’s message. ,Identity,Identity,
"<As></en/as/Identity--Identity> a liberal state, Washington has not been receptive to Trump’s message. ",Identity,Identity,
I like Bob <as></en/as/Identity--Identity> a colleague.  ,Identity,Identity,[but not as a friend]
What a gem <of></en/of/Identity--Identity> a restaurant!  ,Identity,Identity,[exclamative idiom: both NPs are indefinite]
the problemtaskhassle <of></en/of/Identity--Identity> raising money ,Identity,Identity,
the age <of></en/of/Identity--Identity> eight ,Identity,Identity,
They did a great job <of></en/of/Identity--Identity> cleaning my windows. ,Identity,Identity,
the topicissuequestion <of></en/of/Identity--Identity> semantics ,Identity,Identity,
the idea <of></en/of/Identity--Identity> raising money ,Identity,Identity,
She appears <as></en/as/Identity--Identity> Ophelia in Hamlet. ,Identity,Identity,
"He is usually a bartender, but today he is working <as></en/as/Identity--Identity> a waiter. ",Identity,Identity,
The cost is $10 <per></en/per/RateUnit--RateUnit> item. ,RateUnit,RateUnit,
A fuel efficiency of 40 miles <per></en/per/RateUnit--RateUnit> gallon  ,RateUnit,RateUnit,(of gas)
Pizza is sold <by></en/by/RateUnit--RateUnit> the slice. ,RateUnit,RateUnit,
They charge <by></en/by/RateUnit--RateUnit> the hour. ,RateUnit,RateUnit,
Joan is studying <under></en/under/SocialRel--Locus> Prof. Smith.  ,SocialRel,Locus,(SocialRel↝Locus)
Joan is married <to></en/to/SocialRel--Goal> John. ,SocialRel,Goal,
Joan is divorced <from></en/from/SocialRel--Source> John. ,SocialRel,Source,
Joan bought her house <through></en/through/SocialRel--Instrument> a real estate agent.  ,SocialRel,Instrument,(SocialRel↝Instrument)
Joan bought her house <through></en/through/SocialRel--Instrument> a real estate agent.   ,SocialRel,Instrument,[intermediary]|(SocialRel↝Instrument)
I work <with></en/with/SocialRel--Ancillary> Steve. ,SocialRel,Ancillary,
I work <with></en/with/SocialRel--Ancillary> Michael. ,SocialRel,Ancillary,
John and Mary are <together></en/together/SocialRel--Ancillary> . ,SocialRel,Ancillary,(= a couple)
Joan has a class <with></en/with/SocialRel--Ancillary> Miss Zarves. ,SocialRel,Ancillary,
people <with></en/with/SocialRel--Characteristic> children  ,SocialRel,Characteristic,(SocialRel↝Characteristic)
Joan is the sister <of></en/of/SocialRel--Gestalt> John. ,SocialRel,Gestalt,
Joan is the wife <of></en/of/SocialRel--Gestalt> John. ,SocialRel,Gestalt,
Joan is John<'s></en/'s/SocialRel--Gestalt> sister. ,SocialRel,Gestalt,
Joan is John<'s></en/'s/SocialRel--Gestalt> wife. ,SocialRel,Gestalt,
Joan is a student <of></en/of/SocialRel--Gestalt> Miss Zarves. ,SocialRel,Gestalt,
Joan is Miss Zarves<'s></en/'s/SocialRel--Gestalt> student. ,SocialRel,Gestalt,
the rivalry <of></en/of/SocialRel--Gestalt> the teams ,SocialRel,Gestalt,
the team<s'></en/'s/SocialRel--Gestalt> rivalry ,SocialRel,Gestalt,
the rivalry <between></en/between/SocialRel--Whole> the teams  ,SocialRel,Whole,[see ]
that sort <of></en/of/Species--Species> business ,Species,Species,
A good type <of></en/of/Species--Species> ant to keep is the red ant . ,Species,Species,
certain strains <of></en/of/Species--Species> Escherichia coli ,Species,Species,
Modern breeds <of></en/of/Species--Species> these homing pigeons return reliably ,Species,Species,
Some poor sap applied the wrong brand <of></en/of/Species--Species> paint ,Species,Species,
This store offers a wide selection <of></en/of/Species--Species> footstools ,Species,Species,
an example <of></en/of/Species--Species> Italian Renaissance architecture ,Species,Species,
the epitome <of></en/of/Species--Species> Italian Renaissance architecture ,Species,Species,
